      Comparison1   Comparison2  HMAX_C1_1_Prediction  HMAX_C1_2_Prediction  HMAX_C1_3_Prediction  HMAX_C1_4_Prediction  HMAX_C1_5_Prediction  HMAX_C1_6_Prediction  HMAX_C1_7_Prediction  HMAX_C1_8_Prediction  HMAX_C1_Prediction  HMAX_C2_1_Prediction  HMAX_C2_2_Prediction  HMAX_C2_3_Prediction  HMAX_C2_4_Prediction  HMAX_C2_5_Prediction  HMAX_C2_6_Prediction  HMAX_C2_7_Prediction  HMAX_C2_8_Prediction  HMAX_C2_Prediction
124   o5_t1_cs_d2   o5_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
125   o5_t2_ap_d1   o5_t2_ap_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     1                     1                     1                     1                     1                     1                   1
126   o5_t2_ap_d1   o5_t2_mf_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     0                     1                     0                     1                     1                   1
127   o5_t2_ap_d1   o5_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
128   o5_t2_ap_d1   o5_t2_rp_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     1                     0                     1                     1                   0
129   o5_t2_ap_d1   o5_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     1                     1                     1                     1                     1                     1                   1
130   o5_t2_ap_d2   o5_t2_mf_d1                     0                     0                     0                     1                     1                     1                     1                     1                   1                     1                     1                     0                     0                     0                     0                     0                     0                   0
131   o5_t2_ap_d2   o5_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
132   o5_t2_ap_d2   o5_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     0                     0                     0                     0                     0                     0                   0
133   o5_t2_ap_d2   o5_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     1                     0                     0                     0                     0                     0                     0                   0
134   o5_t2_rp_d1   o5_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     1                     1                     1                     1                     1                     1                     1                   1
135   o5_t2_mf_d1   o5_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
136   o5_t2_mf_d1   o5_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     1                     0                     0                     0                   0
137   o5_t2_mf_d1   o5_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     1                     1                     1                     0                     0                   1
138   o5_t2_mf_d2   o5_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
139   o5_t2_mf_d2   o5_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
140   o6_t1_cs_d1   o6_t1_cs_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
141   o6_t1_cs_d1   o6_t2_ap_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
142   o6_t1_cs_d1   o6_t2_ap_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
143   o6_t1_cs_d1   o6_t2_mf_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
144   o6_t1_cs_d1   o6_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     1                     1                     1                     1                     1                     1                     1                   1
145   o6_t1_cs_d1   o6_t2_rp_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     1                     1                     1                     1                     1                     1                   1
146   o6_t1_cs_d1   o6_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
147   o6_t1_cs_d2   o6_t2_ap_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     1                     1                     1                     1                     1                     1                     1                   1
148   o6_t1_cs_d2   o6_t2_ap_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     0                     0                     0                     1                     1                     1                   0
149   o6_t1_cs_d2   o6_t2_mf_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     0                     0                     0                     0                     1                     1                   0
150   o6_t1_cs_d2   o6_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
151   o6_t1_cs_d2   o6_t2_rp_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     1                     1                   0
152   o6_t1_cs_d2   o6_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
153   o6_t2_ap_d1   o6_t2_ap_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     0                     0                     0                     0                     0                     0                   0
