     Target    Comparison          Layer      Distance  DistanceInverted
314      o3   o3_t2_rp_d1  AlexNet_conv2    235.340103        230.580887
315      o3   o3_t2_rp_d1  AlexNet_conv1   5152.482422       4857.551270
316      o3   o3_t2_rp_d1  AlexNet_conv5      5.349988          7.308411
317      o3   o3_t2_rp_d1  AlexNet_norm2    197.393356        218.379227
318      o3   o3_t2_rp_d1  AlexNet_pool2    396.446747        446.929749
319      o3   o3_t2_rp_d1  AlexNet_pool1  11565.743164      10621.436523
320      o3   o3_t2_rp_d1  AlexNet_norm1    306.416382        302.421631
321      o3   o3_t2_rp_d1  AlexNet_pool5     16.220045         23.831997
322      o3   o3_t2_rp_d2    AlexNet_fc6      3.653522          4.379090
323      o3   o3_t2_rp_d2    AlexNet_fc7      0.306575          0.420148
324      o3   o3_t2_rp_d2    AlexNet_fc8      0.972272          1.513568
325      o3   o3_t2_rp_d2  AlexNet_conv4     50.578720         56.633121
326      o3   o3_t2_rp_d2   AlexNet_prob      0.000022          0.000082
327      o3   o3_t2_rp_d2  AlexNet_conv3    181.319366        196.542038
328      o3   o3_t2_rp_d2  AlexNet_conv2    289.144531        273.377808
329      o3   o3_t2_rp_d2  AlexNet_conv1   5523.206543       5252.597168
330      o3   o3_t2_rp_d2  AlexNet_conv5      8.878155          9.603636
331      o3   o3_t2_rp_d2  AlexNet_norm2    305.663727        321.353363
332      o3   o3_t2_rp_d2  AlexNet_pool2    636.754272        630.609558
333      o3   o3_t2_rp_d2  AlexNet_pool1  13551.847656      13156.938477
334      o3   o3_t2_rp_d2  AlexNet_norm1    376.324036        378.532684
335      o3   o3_t2_rp_d2  AlexNet_pool5     28.849922         31.280514
336      o4   o4_t1_cs_d1    AlexNet_fc6      8.595890          8.801455
337      o4   o4_t1_cs_d1    AlexNet_fc7      0.589659          0.566064
338      o4   o4_t1_cs_d1    AlexNet_fc8      0.929882          1.229757
339      o4   o4_t1_cs_d1  AlexNet_conv4    118.892982        138.197510
340      o4   o4_t1_cs_d1   AlexNet_prob      0.000348          0.000100
341      o4   o4_t1_cs_d1  AlexNet_conv3    380.309570        438.762085
342      o4   o4_t1_cs_d1  AlexNet_conv2    492.578278        533.588806
343      o4   o4_t1_cs_d1  AlexNet_conv1   7989.702637       7698.322754
344      o4   o4_t1_cs_d1  AlexNet_conv5     21.201378         25.150133
345      o4   o4_t1_cs_d1  AlexNet_norm2    651.774963        765.844421
